,no,title,publication date,subject,journal,DOI,author,abstract,from_database,tfidf_score
5107,7684,The influence of empathy on academic achievement among gifted students in Saudi Arabia,2015,,Global Journal of Interdisciplinary Social …,https://www.researchgate.net/profile/Mohd_Zuri_Ghani/publication/299488246_The_Influence_of_Empathy_on_Academic_Achievement_among_Gifted_Students_in_Saudi_Arabia/links/56fb7f7f08aef6d10d905b3a/The-Influence-of-Empathy-on-Academic-Achievement-among-Gifted-Students-in-Saudi-Arabia.pdf,"AS Faisal, MZB Ghani","… According to Mayer, Caruso, and Salovey (1999), higher parental warmth and attachment is highly
correlating to higher emotional intelligence … In a study conducted by Thomas (2013), Emotional
Intelligence and coping behavior of gifted and normal students have been assessed …",google_scholar,0.37832753432010935
5048,7507,Many faces of a gifted personality: Characteristics along a complex gifted spectrum,2013,,Talent Development & Excellence,https://d-nb.info/1051891523/34#page=47,"M Wellisch, J Brown","… Keywords: personality, gifted spectrum, attachment, disorders, gifted characteristics, gifted
identification, Theory of Positive Disintegration, twice exceptional children, maternal depression
The term personality is generally thought of as a dynamic and organized set of …",google_scholar,0.3779633183031642
4,89,Pre-natal Attachment and Parent-To-Infant Attachment: A Systematic Review,,General Psychology,,10.3389/fpsyg.2021.620942,"{'given': 'Tommaso', 'family': 'Trombetta', 'sequence': 'first', 'affiliation': []}","<jats:p>During the perinatal period, the establishment of the attachment relationship with the fetus and subsequently with the real child is crucial for the parents' and the child's well-being. Coherently with the assumption that the attachment relationship starts to develop during pregnancy, this systematic review aims to analyze and systematize studies focused on the association between pre-natal attachment and parent-to-infant attachment, in order to clarify the emerging results and provide useful information for clinical purposes. Nineteen studies were included. Sixteen researches identified a positive relationship between pre-natal attachment and parent-to-infant attachment, and three articles highlighted a negative association between antenatal attachment and post-partum bonding disorders. These results were found both in women and men, in normative and at-risk pregnancies, adopting different assessment approaches (i.e., self-report measures, observations, and projective measures). However, only small or moderate associations were found. Future studies are needed to further confirm these findings across different populations (e.g., male samples, non-normative samples or samples in disadvantaged conditions) and with different methodological approaches (e.g., observational measures). Moreover, studies would be needed in order to clarify mechanisms through which pre-natal attachment influences parent-to-infant attachment, as well as protective and risk factors which intervene between these two variables.</jats:p>",crossref,0.37736431721060454
5264,8270,Patterns of Overexcitability in a Group of Artsits,1985,,The Journal of Creative Behavior,https://www.academia.edu/download/50820991/j.2162-6057.1985.tb00655.x20161210-7124-cqfk8q.pdf,"MM Piechowski, K Cunningham","… developed his theory from extensive clinical and biographical studies of artists, writers, members
of religious orders, gifted and talented … with death Fear and Anxiety Feeling of guilt Depressive
and suicidal moods Relationship feelings need for protection, attachment to animals …",google_scholar,0.3772078385917149
5080,7575,Parenting styles and adjustment in gifted children,2017,,Gifted Child Quarterly,10.1177/0016986216675351,"V Pilarinos, CR Solomon","… Parenting Styles and Adjustment in Gifted Children. Vassiliki Pilarinos and CR Solomon. Gifted
Child Quarterly 2016 61:1, 87-98. Download Citation … Parenting Styles and Adjustment in Gifted
Children. Vassiliki Pilarinos and CR Solomon. Gifted Child Quarterly 2016 61:1, 87-98 …",google_scholar,0.3768780344081286
10,150,Dyadic effects of attachment and relationship functioning,,Sociology and Political Science,,10.1177/0265407521999443,"{'ORCID': 'http://orcid.org/0000-0001-6253-8939', 'authenticated-orcid': False, 'given': 'Elizabeth B.', 'family': 'Lozano', 'sequence': 'first', 'affiliation': [{'name': 'University of Illinois at Urbana-Champaign, USA'}]}","<jats:p> Some scholars have proposed that people in couples in which at least one person is secure are just as satisfied as people in which both members are secure (i.e., buffering hypothesis). The present investigation tested this hypothesis by examining how relationship satisfaction varies as a function of the attachment security of both dyad members. Secondary analyses were performed using data from two studies (Study 1: 172 couples; Study 2: 194 couples) in which heterosexual dating couples were asked to complete self-reports of their own attachment style and relationship satisfaction. To evaluate the buffering hypothesis, we fit a standard APIM using SEM and added an actor × partner interaction term to our model. Contrary to expectations, our results suggested that secure partners do not “buffer” insecurely attached individuals. Moreover, partner attachment did not explain satisfaction much above and beyond actor effects. This work addresses a gap in the literature with respect to the dynamic interplay of partner pairing, allowing scholars to better understand attachment processes in romantic relationships. </jats:p>",crossref,0.3765440147295053
5166,7900,The Experience of Macedonian Foreign Language Teachers with Gifted Students,2020,,… GIFTED AND …,http://eprints.uklo.edu.mk/6113/,"S Neshkovska, L Ivanovska…","… be effective, dynamic and in continuity for the sustainability of these high mental abilities, which
in the gifted, talented and … Primary groups are characterized by the following interpersonal
relationships: high emotional attachment, intense interpersonal relationships, and a strong …",google_scholar,0.37634468666654136
5191,7970,Attachment and cognition: A review of the literature,1993,,International Journal of …,https://openaccess.leidenuniv.nl/bitstream/handle/1887/1462/168_129.pdf,"C De Ruiter, MH Van Ijzendoorn","CHAPTER l ATTACHMENT AND COGNITION: A REVIEW OF THE LITERATURE … Introduction
In this chapter we will review the literature pertaining to the role of the quality of the first attachment
relationship between child and care-giver in the cognitive development of the child …",google_scholar,0.37575578972242485
5099,7644,Training teachers for the gifted and talented: A comparison of models.,1975,,,https://eric.ed.gov/?id=ED119453,C Maker,"… Gifted children, who will be among the leaders of tomorrow, are at present among the most bored
in our classrooms, and few of … Parents have 'a right to expect 'from them an attitude of acceptance
of change which will keep those students from withdrawal or attachment to 'a …",google_scholar,0.3753360430174244
5275,8314,The psychology of music performance anxiety,2011,,,https://books.google.com/books?hl=en&lr=&id=gtM5KRRzAIYC&oi=fnd&pg=PP1&dq=gifted+attachment&ots=6wUmgSN11x&sig=mx68WVW9jS7-VtesNtW6aLhjnlk,D Kenny,"… of performing musicians Summary 10 Prevention and pedagogy Parenting the musically gifted
child Teaching the musically gifted child The … The three proposed subtypes of music performance
anxiety Schematic representation of Mahler's model of attachment, autonomy, and …",google_scholar,0.3740037176425739
5147,7852,Creativity and emotional regulation in gifted children,2016,,,https://search.proquest.com/openview/9e4cf5ddd3bb44b61117397a9301fc64/1?pq-origsite=gscholar&cbl=18750&diss=y,EB Linn,"Page 1. CREATIVITY AND EMOTIONAL REGULATION IN GIFTED CHILDREN Doctoral Project
submitted to the Faculty of the California School of Professional Psychology … ProQuest Number:
10075582 Page 3. CREATIVITY … GIFTED CHILDREN ii ©Elisabeth B. Linn, 2016 …",google_scholar,0.3737060243150204
5120,7727,Gifted and intellectual disabled children's social competence profile,2014,,Iranian Journal of Cognition and Education,https://journals.semnan.ac.ir/article_192.html,SR Rezayi,"… For the vast majority of gifted children, social skills are present and the challenge is to match
social development with intellectual development … Attachment of an infant to the mother is important
for the development of later social competence (Speltz et al., 1999; van IJzendoorn …",google_scholar,0.3735425886504318
23,317,Analysis of the Relationship between Executive Functions and Intelligence in Gifted Student: A Pilot Study.,,,,10.20944/preprints202102.0423.v1,"{'ORCID': 'http://orcid.org/0000-0003-1627-3233', 'authenticated-orcid': False, 'given': 'Luque Rojas', 'family': 'M.J.', 'sequence': 'first', 'affiliation': []}","<jats:p>(1) Background: Executive functioning is a concept that suggests a scheme of relationship between brain-mind and behavior, through a plan and control of individuals actions on tasks and context. This work is an approach to the study between relationship of abilities (flair) and the execution, between cognitive development and executive functioning as intelligence and creativity and reading writing learning association. The objective is trying to give a definition of neuropsychological profile of Gifted Students; (2) Methods: We studied 20 Gifted Student assessments by a school counselor, under some characteristics as having greater than 125 IQ. The age range was 6:8 to 11:8 from Primary School. Instruments were WISC-V. BRIEF-2 and TTCT; (3) Results: We observed a positive correlation between IQ and Inhibition, that would keep relation with behavioral mechanism (guide work, autonomy, impulse control, ...) of students to develop cognitive and metacognitive abilities as going in-depth in habits, skill, and strategies of intellectual work in the classroom; (4) Conclusions: There is a distance between executive functioning and IQ. Correlations, considering our sample, would express a halfway association between both variables. Association that would be explained for the connection or underlying cognitive mechanism in some factors of variables.</jats:p>",crossref,0.3729969651367204
5051,7510,Gifted Children's Relationships with Teachers.,2005,,International Education Journal,https://eric.ed.gov/?id=EJ854973,JE Kesner,"… worthwhile exercise. Thus, the purpose of this study was to examine and compare
teachers' perspectives of their interpersonal relationship with gifted and non-gifted
children utilising an attachment theory framework. Given that …",google_scholar,0.3728252581402946
5195,7977,"… : THE DARK SIDE OF INTELLIGENCE, CREATIVITY, AND TALENT. THE SOCIO-AFFECTIVE DEVELOPMENTAL NEEDS OF GIFTED AND HIGH ACHIEVING …",,,,https://www.researchgate.net/profile/Rebekah_Granger_Ellis/publication/318705605_EINSTEIN_OR_COLUMBINE_THE_DARK_SIDE_OF_INTELLIGENCE_CREATIVITY_AND_TALENT_THE_SOCIO-AFFECTIVE_DEVELOPMENTAL_NEEDS_OF_GIFTED_AND_HIGH_ACHIEVING_STUDENTS/links/5b6cc99da6fdcc87df7037b4/EINSTEIN-OR-COLUMBINE-THE-DARK-SIDE-OF-INTELLIGENCE-CREATIVITY-AND-TALENT-THE-SOCIO-AFFECTIVE-DEVELOPMENTAL-NEEDS-OF-GIFTED-AND-HIGH-ACHIEVING-STUDENTS.pdf,RG Ellis,"… Kim, K. –H. (2008). Underachievement and creativity: Are gifted underachievers highly creative?
Creativity Research Journal, 20(2), 234-242 … A cognitive-developmental approach to moral
attachment. In WM Kurtines (Ed.), Intersections with attachment (pp. 229-246) …",google_scholar,0.3727861195370663
5287,8389,Predictors of college adjustment among Hispanic students,2006,,Journal of the first-year experience & …,https://www.ingentaconnect.com/content/fyesit/fyesit/2006/00000018/00000002/art00001,"A Yazedjian, M Toews","… Overall, our results suggest that personal variables, specifically self-esteem, ethnic identity, and
acculturation, are stronger predictors of college adjustment than interpersonal variables, such
as parental education and attachment … Gifted Child Quarterly, 46(2), 124-134 …",google_scholar,0.3722377208629621
5226,8097,Drawing on giftedness: Understanding what it means to be an engaged gifted and talented elementary student,2012,,,https://search.proquest.com/openview/93ab8996b2ca6a60045240c91f87e35f/1?pq-origsite=gscholar&cbl=18750&diss=y,KM McCormick,"… student groups be examined. Research needs to delve into the idea of student engagement with
gifted and talented students. Page 17. 7 … scores (Klem & Connell, 2004). Teacher attachment has
been found to contribute to academic motivation and more learning …",google_scholar,0.37179077759610696
5178,7930,"Comparison of dimensions of psychological well-being of mothers of mentally handicapped, gifted and normal children",2015,,Research in Cognitive …,https://cbs.ui.ac.ir/article_17336.html?lang=en,"AA Taghipour Javan, F Hassan Nattaj…","… Alina, M., & Matthew, S. (2009). An Evaluation of a Behavioral Parenting Intervention for Parents
of Gifted Children, Cincinnati: Summer 2009. 53, 3.163,11.## … (2008). The Relationship between
Personal Identity, Attachment Styles with Psychological Well-being in Youths …",google_scholar,0.3711523572014086
5216,8065,"… , M., Charrua, M., Barahona, H., Matos, O.,… & Mira, I.(2008). Assessment of social and emotional intelligence–A study with Portuguese gifted children. In Subhi …",,,,https://www.academia.edu/download/32498919/Assessment_of_social_and_emotional_intelligence_-_A_study_with_Portuguese_gifted_and_non_gifted_children.pdf,AA Candeias,"… approach to look at human abilities and socio-emotional competence. Social and emotional
intelligence in adjustment of gifted and talented children … Emotional Intelligence Test) and
attachment security. Different MSCEIT tasks have also been …",google_scholar,0.37109975058399136
5143,7843,Academic self-efficacy and social self-concept of mathematically gifted high school students in a summer residential program,2004,,,https://search.proquest.com/openview/a84a11380705e3b68fb84b3b0df86a9b/1?pq-origsite=gscholar&cbl=18750&diss=y,SA Brookby,"… childs self-perception of his/her social prowess, but also by his/her commonality and. attachment
to peers as well as to parents and teachers (see also Dickens & Cornell, 1993). Other students
tend to seek out gifted students in academic settings (Eccles, Bauman & …",google_scholar,0.37016520313903023
5215,8060,INDIVIDUAL EDUCATION PLANS FOR GIFTED STUDENTS: Information for Parents,2006,,,http://spe.idv.tw/UploadFile/News/2014424184821/Ontario_developing%20individual%20educcation%20plans%20for%20gifted%20students.pdf,"B Hurwitz, R Lacalamita","… DEVELOPING INDIVIDUAL EDUCATION PLANS FOR GIFTED STUDENTS: Information for
Parents Becky Hurwitz and Rosann Lacalamita … page 25 Connections: The Relationship of
Curriculum Modifications and Administrative Supports to the Needs of Gifted Students Part 3 …",google_scholar,0.36941971564521486
5257,8234,Socioemotional Factors Contributing to Ad justment Among Early-Entrance College Students,2002,,Gifted Child …,10.1177/001698620204600205,"SM Caplan, CE Henderson, J Henderson…","… There has been little research, howev- er, exploring how individualcharacteristics of gifted and
accelerated students affect adjustment … the SACQ yields four subscale scores: Academic
Adjustment, Social Adjustment, Personal Emotional Adjustment, and Institutional Attachment …",google_scholar,0.3683083904930515
5249,8199,Evaluation and Needs,1989,,Gifted Education International,10.1177/026142948900600211,KK Urban,"… parenting style, harsh expectations, parental self‐criticism and perfectionism), child factors
(self‐criticism, self‐esteem), and attachment style; … Studies relating to perfectionism in gifted and
talented children and elite athletes, where psychopathology was not discussed, were …",google_scholar,0.36746498215525436
5151,7860,Submission 32 attachment: Literature review on the education of gifted and talented children,2001,,… into the education of gifted and talented children …,,"MUM Gross, B Sleap","… The stories reflected in this chapter describe family attachment and cohesion, strong support
systems, and social capital that have enabled … in this chapter come from communities who often
experience the greatest challenges in education in general and gifted education in …",google_scholar,0.36644460195985523
14,161,Styles and Present Dimensions of Attachment in University Students,,,,10.20944/preprints202103.0155.v1,"{'given': 'Diego', 'family': 'Santos', 'sequence': 'first', 'affiliation': []}","<jats:p>The objective of the present study is to evaluate and analyze styles and dimensions of attachment, its possible relations and how they become evident in the people involved in this study, For accomplishing it, a quantitative focus methodology was applied of descriptive type and crosscut, in which 105 Clinical Psychology university career students participated. The CaMir-R questionnaire was applied to evaluate the different styles and dimensions of attachment. In regard to the main found results it can be mentioned that - as much in men as in women -. the disorganized attachment is the most representative, followed by safe attachment. In turn, there exists a significant difference established by gender in these dimensions: family worry, parental permissiveness and infantile traumatism; In addition, as much positive correlations like refusals ones among the renowned dimensions were observed, where bulges out the positive link of self-sufficiency and resentment against the parents with the infantile traumatism. It came to an end that the dependence between the type of relation and the predisposal of offering a sure attachment on behalf of the progenitor, it will generate in the person an atmosphere of satisfaction and a capacity to face the penalties of life everyday.</jats:p>",crossref,0.3655923317752453
5139,7826,Perfectionism in high-ability students: Relational precursors and influences on achievement motivation,2006,,Gifted child quarterly,10.1177/001698620605000304,"KLS Neumeister, H Finch","… Finally, in a qualitative study of gifted college students, Speirs Neumeister (2004b) also found
socially prescribed perfectionists perceived one or … The relationship between parenting styles
and per- fectionism, however, may be mediated by the additional variable of attachment …",google_scholar,0.36440730209350075
5243,8171,The Mediating Role of Fear of Intimacy in the Relationship between Attachment Pathologies and Sexual Disorders,2020,,,http://jip.azad.ac.ir/article_672312.html?lang=en,"S Abdollahkhani, MA Besharat","… Such hyper-arousal is experienced as outside one's control: disturbed attachment experiences
result in the lack of a stable sense of self (internal secure base) with the capacity for symbolic
representation of one's own mental states … By all accounts, Callum was musically gifted …",google_scholar,0.3633406493448582
5172,7909,Charismatic leadership development: Role of parental attachment style and parental psychological control,2005,,Journal of Leadership & Organizational Studies,10.1177/107179190501100402,A Towler,"Charismatic Leadership Development: Role of Parental Attachment Style and Parental
Psychological Control … This study investigated the relationship between parental attachment style,
parental psychological control and emergent adults' displays of charismatic leadership …",google_scholar,0.3628350477829847
5203,8019,GIFTEDNESS AND GIFTED EDUCATION (An Overview),2017,,"LET: Linguistics, Literature and English Teaching …",http://jurnal.uin-antasari.ac.id/index.php/let/article/view/1385,T Azhari,"… The top 10 events in gifted education. Gifted Child Today, 22(6), 7. Kulik JA. An Analysis of the
Research on Ability Grouping: Historical and Contemporary Perspectives. Liotti, G. Disorganized
Attachment, Models of Borderline States and Evolutionary Psychotherapy …",google_scholar,0.36263014697382706
5129,7781,"The gifted personality: Resilient children and adolescents, their adjustment and their relationships",2000,,… talent across the …,https://books.google.com/books?hl=en&lr=&id=L5Oc3cut66EC&oi=fnd&pg=PA101&dq=gifted+attachment&ots=MPkp_3x0zG&sig=EW6hPdAR_KOYlcYaS2Xz8lkbr2Y,"CF Van Lieshout, RH Scholte…","… 5. THE GIFTED PERSONALITY 119 high relational support and a popular class status were found
to be more extraverted, emotionally stable, and … This shift in the personality profiles of boys and
girls may indeed reﬂect the increasing attachment of girls to social interaction and …",google_scholar,0.36245922003243464
5073,7553,Regular Education Teachers' Attitudes toward Their Identified Gifted and Special Education Students.,1994,,,https://eric.ed.gov/?id=ED373512,"J Siegel, JN Moore","… Hypothesis 4 was also not supported by the data. The attachment attitudes of teachers
with gifted students did not related to their general attitudes toward mainstreaming gifted
students or their prior experience and success with these students …",google_scholar,0.36224108222524576
5112,7694,IDENTIFYING THE RELATIONSHIP OF PARENTING STYLES AND PARENT'S PERFECTIONISM WITH NORMAL STUDENTS'AND GIFTED STUDENTS' …,2017,,Independent Journal of …,https://www.redalyc.org/pdf/4495/449549996009.pdf,"A Kakavand, S Kalantari, S Noohi…","… Parenting gifted and talented children: conceptual and empirical foundations. Gifted Child
Quarterly, v. 53, n. 3, p. 163- 173. RICE, KG; MIRZADE, SA (2000). Perfectionism, attachment
& adjustment. Journal of counseling psychology, v. 47, n. 2, p. 238-250 …",google_scholar,0.36213604803563043
5149,7854,"Reflecting upon Parents' and Teachers' Roles in Gifted Education:"" R We There Yet?""",2006,,Parenting for High Potential,https://search.proquest.com/openview/ce6090659f99c5a3deb6c9f2f3b313b3/1?pq-origsite=gscholar&cbl=27741,J Foster,"… One of the most important ways parents and teachers can nurture gifted-level development is
to work together to support and enhance children's … Send your entries in an email message (or
a Word document attachment) to the Editor (don@creativelearning), but be certain to use …",google_scholar,0.36206273938205685
5223,8092,Predicting Dropout and Underachievement Among Gifted Students: The Role of Student Engagement,2012,,,https://getd.libs.uga.edu/pdfs/landis_rebecca_n_201208_phd.pdf,RN Landis,"… GIFTED ASIAN AMERICAN HIGH SCHOOL STUDENTS … A Thesis Presented to the Graduate
Faculty of Mississippi University for Women in Partial Fulfillment of the Requirements for the
Degree of Master's of Education in Gifted Studies in the Department of Education May, 1999 …",google_scholar,0.36085148883105544
5179,7931,Investigation of the effects of creative drama programs on moral development of gifted and typicall children,2013,,Egitim ve Bilim,https://search.proquest.com/openview/13cc99c74c714e409e351b4887f6ae20/1?pq-origsite=gscholar&cbl=1056401,"SB Kangal, M Ari","… Development of Gifted and Typical Children Saniye BENCİK KANGAL … Abstract This study is
planned for the purpose of investigating the effect of a creative drama program which supports
the moral judgment development of gifted and typical children at 6 and 7th grades …",google_scholar,0.3607564685731964
5232,8123,A STUDY OF PARENTAL ATTITUDES OF THE PARENTS WHO HAVE 9-10 YEARS OLD CHILDREN NOMINATED AS GIFTED IDENTIFICATION,,,,http://www.ressjournal.com/Makaleler/263944295_11%20Mustafa%20Ad%C4%B1batmaz.pdf,"A ÖZYÜREK, M ADIBATMAZ, NF YAVUZ, A ÇETİN","… teachers and mentors, a domain that is ready to be ""absorbed"" by a young mind, and living in
a culture that honors gifted young children (p … Play contributes to each child's attachment,
adaptation and growth as play contributes to the evolution of a whole culture (Littleton, 1998) …",google_scholar,0.3592318872489247
5225,8096,The Prediction of Professional Development of Birjand's Public and Gifted High Schools' Teachers through their Understanding of Organizational Climate,,,,https://www.researchgate.net/profile/Ali_Asgari4/publication/282653092_The_Prediction_of_Professional_Development_of_Birjand's_Public_and_Gifted_High_Schools'_Teachers_through_their_Understanding_of_Organizational_Climate/links/5616166a08ae4ce3cc658579.pdf,"F Ayyoobi, H Pourshafei, A Asgari","… The Prediction of Professional Development of Birjand's Public and Gifted High Schools' Teachers
through their Understanding of Organizational Climate 725 … as the heart of school making teachers,
principal, and students love school and feel self-esteem as well as attachment …",google_scholar,0.3588547540370355
5124,7742,Distinguishing characteristics of gifted students with disabilities,2001,,,https://books.google.com/books?hl=en&lr=&id=cL47LqMH9P8C&oi=fnd&pg=PR11&dq=gifted+attachment&ots=Am0QtgK_-v&sig=L9jeVSJDjwDaPTpPvaodco4AfQA,T Friedrichs,"… Distinguishing Characteristics of Gifted Students With Disabilities … Parents who correctly sense
that their children are gifted, only to be flooded with depressing complaints about unsatisfactory
school performance, should enjoy this document particularly …",google_scholar,0.35787584819039686
5268,8278,Giftedness and psychological abuse in borderline personality disorder: Their relevance to genesis and treatment,1992,,Journal of Personality …,10.1521/pedi.1992.6.3.226,"LC Park, JB Imboden, TJ Park, SH Hulse…","… Patients may also employ this talent in engendering strong rescue and attachment responses,
as well as disagreements, quarrels, or ""splits' among those who are involved in … Much as one would
refer to the mathematically gifted person or the musically gifted person, we believe …",google_scholar,0.35772577803902894
5155,7874,"… achievement motivation, self-esteem, A sense of belonging to the school and academic performance of students in public schools, state sample, intelligent and gifted …",2018,,Research in Curriculum …,https://jsr-e.khuisf.ac.ir/article_539016.html?lang=en,"M Rezaei Rad, SL Sadati Motlagh","… are different, so that achievement motivation of students from smart schools and self-confidence,
school connectedness and academic performance of students from gifted schools were the … karcher
,david; Holcomb,jm; zambrano, (2008)school attachment .newyork; mcgraw-hil …",google_scholar,0.35767868071471576
5217,8067,Perceived Parenting Styles and Fear of NegativeEvaluation: A Comparison of Gifted andNormal Adolescent Girls,,,,http://www.iaujournals.ir/article_512194_685865c2ffbac30ec84d33b2e3c061e7.pdf,J IÁûÍ,"… A Comparison of Gifted andNormal Adolescent Girls … In a survey study, the Fear of Negative
Evaluation Scale-Brief Form (Leary, 1983)) and Parenting styles Questionnaire (Schaefer,1965)
were administered to 137 female high school students (34 gifted, 103 normal) …",google_scholar,0.357503600164937
5210,8041,Immersing Socio-Affective Instruction Within the Constructs of the Academic Curriculum: A Study of Gifted and Talented Programs,,,,https://www.researchgate.net/profile/Rebekah_Granger_Ellis/publication/326926374_Immersing_Socio-Affective_Instruction_Within_the_Constructs_of_the_Academic_Curriculum_A_Study_of_Gifted_and_Talented_Programs/links/5b6cc8e392851ca65053e28d/Immersing-Socio-Affective-Instruction-Within-the-Constructs-of-the-Academic-Curriculum-A-Study-of-Gifted-and-Talented-Programs.pdf,"R Granger-Ellis, RB Speaker Jr, PJ Austin","… Research questions guiding the study: (1) How do academically and artistically gifted 10th and
11th grade students perform on psychological scales of social and emotional intelligence … the
Constructs of the Academic Curriculum: A Study of Gifted and Talented Programs T …",google_scholar,0.35673558459606197
5211,8046,"NOTE 13p.; Paper presented at the World Conference of the World Council for Gifted and Talented Children (12th, Seattle, WA",1997,,,10.1.1.1024.7731&rep=rep1,MM Piechowski,"… I mostly spent my time trying to escape. Intellectually gifted and emotionally intense adolescents
who are blocked in expression of what they deeply feel become depressed … The foundation of
emotional development is the security of attachment between the parent and the child …",google_scholar,0.3564723013422483
5068,7545,Family environment and social development in gifted students,2014,,Gifted Child …,10.1177/0016986214526430,"P Olszewski-Kubilius, SY Lee…","… Journal, New Content, Announcements. Gifted Child Quarterly, Contents … Family Environment
and Social Development in Gifted Students. Paula Olszewski-Kubilius, Seon-Young Lee, and
Dana Thomson. Gifted Child Quarterly 2014 58:3, 199-216. Download Citation …",google_scholar,0.3564317352019574
25,337,Depressive Symptoms and Quality of Life in a Sample of Italian Women with a Diagnosis of Fibromyalgia: The Role of Attachment Styles,2021-02-16 00:00:00,Clinical Psychology,,10.1155/2021/5529032,"{'ORCID': 'http://orcid.org/0000-0002-2896-312X', 'authenticated-orcid': True, 'given': 'Cristina', 'family': 'Sechi', 'sequence': 'first', 'affiliation': [{'name': 'Department of Pedagogy, Psychology and Philosophy, University of Cagliari, Italy'}]}","<jats:p>Background. Women with fibromyalgia (FM) commonly suffer from depression, pervasive fatigue, and pain. The attachment style has been hypothesized to be an important factor for understanding the experience of these symptoms. Therefore, the present cross-sectional study is aimed at investigating the effect of attachment styles in women with a diagnosis of FM on depressive symptoms and quality of life. Method. Participants were 453 Italian women with a physician’s diagnosis of FM with a mean age of 47 years (<jats:inline-formula>
                     <math xmlns=""http://www.w3.org/1998/Math/MathML"" id=""M1"">
                        <mtext>SD</mtext>
                        <mo>=</mo>
                        <mn>10.9</mn>
                     </math>
                  </jats:inline-formula>). To assess attachment styles, quality of life, and depressive symptoms, women responded, respectively, to the Relationship Questionnaire, the World Health Organization Quality of Life Questionnaire, and the Beck Depression Inventory II. Results. Our results showed that the incidence of depressive symptoms was elevated, with 59% of women reporting moderate to severe symptoms. Also, the statistical analyses showed that both preoccupied and avoidant/dismissing attachments were related with depression symptoms and low perception of QoL. Conclusions. Our study demonstrates that, when evaluating the impact of FM on the QoL of women, it is important to consider the complexity of the variables that are at play. Insecure attachment styles and depressive symptoms seem to increase the likelihood of the psycho-social-somatic malaise in FM women.</jats:p>",crossref,0.3552483336162173
5144,7849,The adjustment of gifted children in the regular classroom: Case studies,1957,,Exceptional Children,10.1177/001440295702300803,"T Crowder, JJ Gallagher","… Generally speaking; Foster appeared to have a close emotional attachment to his mother and
to be quite 'responsive to her wishes and, at the same … usual during the pre-school years, and
there was little reason for the parents to believe that they had an'Tntellectually gifted child …",google_scholar,0.3551542676608302
5256,8226,CAREER DECISIONS AND DEVELOPMENT,2020,,… Issues and Practices in Gifted Education: A Survey of …,https://books.google.com/books?hl=en&lr=&id=MAMGEAAAQBAJ&oi=fnd&pg=PT124&dq=gifted+attachment&ots=BeZeJbkgLw&sig=VauzLqEC4WoCT-LK9WKikAm2F40,JY Jung,"… Gifted American and German adolescent women: A longitudinal examination of attachment,
separation, gender roles, and career aspirations … Gifted American and German adolescent women:
A longitudinal examination of attachment, separation, gender roles, and aspirations …",google_scholar,0.3549357546570388
5182,7945,Gifted and High Achievers' Psychosocial Factors to Determine Gifted Services,2018,,,https://search.proquest.com/openview/ec95b699c8bce3642d78cae7a6b0cdb0/1?pq-origsite=gscholar&cbl=18750&diss=y,SV McCary,"Page 1. 0 Gifted and High Achievers' Psychosocial Factors to Determine Gifted Services Presented
in Partial Fulfillment of the Requirements for the Degree … Page 3. Approval Page Gifted and High
Achievers· Psychosocial factors to Determine Gifted Services By Sarah V. McCary …",google_scholar,0.35390448066592906
5069,7546,Gifted and talented students' career aspirations and influences: a systematic review of the literature,2009,,International Journal of Nursing Education …,https://www.degruyter.com/view/journals/ijnes/6/1/article-ijnes.2009.6.1.1667.xml.xml,"K Miller, G Cummings","… Rainey & Border (1997) Model of Mother-Daughter Relationships 37 American & 26
German girls age 11-14 identified as 'gifted' & their mothers. Inventory of Parent and Peer
Attachment – 25 items for each mother, father and peer subscale …",google_scholar,0.3538328193591065
5272,8309,Incremental validity of the Mayer–Salovey–Caruso Emotional Intelligence Test Version 2.0 (MSCEIT) after controlling for personality and intelligence,2009,,Journal of Research in Personality,https://www.sciencedirect.com/science/article/pii/S0092656608001608,"E Rossen, JH Kranzler","… personality factors. The criterion measures used were academic achievement,
psychological well-being, peer attachment, positive relations with others, and alcohol
use. Results of … Ryff, 1989a). 2.2.6. Peer attachment. To assess …",google_scholar,0.353553873354584
5113,7697,The importance of life goals and the level of their achievement among gifted adults in Jordan,2021,,Cypriot Journal of Educational Sciences,https://www.un-pub.eu/ojs/index.php/cjes/article/view/5508,"HJK Katanani, MA Sakarneh","… life goals are among the most important factors that maintain individuals' attachment to life; having
a purpose in life positively directs life … If the study of life goals is essential for all adult members
of society, it may be of the same importance and perhaps more for the gifted group …",google_scholar,0.3532609573064215
5104,7660,Multidimensional perfectionism within gifted suburban adolescents: An exploration of typology and comparison of samples,2015,,Roeper Review,10.1080/02783193.2015.1008663,"EL Mofield, M Parker Peters","… Among gifted Chinese students in Hong Kong, he found that positive perfectionism was predictive
of life satisfaction, positive affect, and … Her findings also show that insecure attachment (Speirs
Neumeister & Finch, 2006), personality traits, parental influence, and a lack of …",google_scholar,0.3528416336290071
