title,publication date,subject,journal,DOI,author,abstract,from_database,topics
Treatment of suspected sepsis and septic shock in children with chronic disease seen in the pediatric emergency department,2021-06-01,Emergency Medicine,,10.1016/j.ajem.2021.01.026,"{'given': 'Emily', 'family': 'Hegamyer', 'sequence': 'first', 'affiliation': []}",,crossref,9
Linking disambiguation and retention in a developmental eye-tracking study with monolingual and multilingual children,2021-06-01,Experimental and Cognitive Psychology,,10.1016/j.jecp.2020.105072,"{'given': 'Katharina M.', 'family': 'Repnik', 'sequence': 'first', 'affiliation': []}",,crossref,9
Hybrid finite-element-based numerical solution of the multi-group SP3 equations and its application on hexagonal reactor problems,2021-06-01,Nuclear Energy and Engineering,,10.1016/j.anucene.2021.108148,"{'given': 'Boglárka', 'family': 'Babcsány', 'sequence': 'first', 'affiliation': []}",,crossref,1
Contextual goal-dependent attention flexibility or rule-based learning? An investigation of a new attention flexibility paradigm,2021-06-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2020.101632,"{'given': 'Malvika', 'family': 'Godara', 'sequence': 'first', 'affiliation': []}",,crossref,1
Physiological sensation word usage in social anxiety disorder with and without comorbid depression,2021-06-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2021.101638,"{'given': 'Victoria N.', 'family': 'Shaffer', 'sequence': 'first', 'affiliation': []}",,crossref,2
Multi-body sensor data fusion to evaluate the hippotherapy for motor ability improvement in children with cerebral palsy,2021-06-01,Signal Processing,,10.1016/j.inffus.2021.01.002,"{'ORCID': 'http://orcid.org/0000-0002-2977-8559', 'authenticated-orcid': False, 'given': 'Jie', 'family': 'Li', 'sequence': 'first', 'affiliation': []}",,crossref,9
Utilization of an improved crow search algorithm to solve building energy optimization problems: Cases of Australia,2021-06-01,Mechanics of Materials,,10.1016/j.jobe.2020.102142,"{'given': 'Yukai', 'family': 'Ke', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Associations of fine particulate matter and its constituents with airway inflammation, lung function, and buccal mucosa microbiota in children",2021-06-01,Environmental Engineering,,10.1016/j.scitotenv.2021.145619,"{'given': 'Yihan', 'family': 'Wu', 'sequence': 'first', 'affiliation': []}",,crossref,2
Neighbourhood green and blue spaces and allergic sensitization in children: A longitudinal study based on repeated measures from the Generation XXI cohort,2021-06-01,Environmental Engineering,,10.1016/j.scitotenv.2021.145394,"{'given': 'Inês', 'family': 'Paciência', 'sequence': 'first', 'affiliation': []}",,crossref,9
A generalized weighted distance k-Nearest Neighbor for multi-label problems,2021-06-01,Signal Processing,,10.1016/j.patcog.2020.107526,"{'given': 'Niloofar', 'family': 'Rastin', 'sequence': 'first', 'affiliation': []}",,crossref,1
The relationship between preterm birth and sleep in children at school age: A systematic review,2021-06-01,Physiology (medical),,10.1016/j.smrv.2021.101447,"{'given': 'Simone S.M.', 'family': 'Visser', 'sequence': 'first', 'affiliation': []}",,crossref,9
An improved elephant herding optimization using sine–cosine mechanism and opposition based learning for global optimization problems,2021-06-01,General Engineering,,10.1016/j.eswa.2021.114607,"{'given': 'Hariharan', 'family': 'Muthusamy', 'sequence': 'first', 'affiliation': []}",,crossref,1
Friends are not to be eaten: Children are reluctant to eat cookies that share physical and psychological human features due to their desire to relate to the food,2021-06-01,Nutrition and Dietetics,,10.1016/j.appet.2021.105121,"{'given': 'Aleksandra', 'family': 'Niemyjska', 'sequence': 'first', 'affiliation': []}",,crossref,9
Do children with overweight respond faster to food-related words?,2021-06-01,Nutrition and Dietetics,,10.1016/j.appet.2021.105134,"{'given': 'Josefina', 'family': 'Tárrega', 'sequence': 'first', 'affiliation': []}",,crossref,9
Understanding individual and socio-cultural factors associated with hispanic parents’ provision of sugar-sweetened beverages to young children,2021-06-01,Nutrition and Dietetics,,10.1016/j.appet.2021.105139,"{'given': 'Madeline', 'family': 'Beckman', 'sequence': 'first', 'affiliation': []}",,crossref,2
"Concentration of heavy metals in UHT dairy milk available in the markets of São Luís, Brazil, and potential health risk to children",2021-06-01,Food Science,,10.1016/j.foodchem.2020.128961,"{'given': 'Marcio Augusto', 'family': ""Ribeiro Sant'Ana"", 'sequence': 'first', 'affiliation': []}",,crossref,9
Achievement emotions mediate the link between goal failure and goal revision: Evidence from digital learning environments,2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106726,"{'given': 'Maria', 'family': 'Theobald', 'sequence': 'first', 'affiliation': []}",,crossref,1
"A Simple Proof of Regularity for $C^{1,\alpha}$ Interface Transmission Problems",2021-06-01,,,10.4208/aam.oa-2020-0002,"{'given': 'Hongjie', 'family': 'Dong', 'sequence': 'first', 'affiliation': []}",,crossref,1
Long-time asymptotics of solutions for the coupled dispersive AB system with initial value problems,2021-06-01,Applied Mathematics,,10.1016/j.jmaa.2021.124966,"{'given': 'Shuyan', 'family': 'Chen', 'sequence': 'first', 'affiliation': []}",,crossref,1
Association between gun owner attitudes and their behavior in private firearm sales,2021-06-01,"Public Health, Environmental and Occupational Health",,10.1016/j.ypmed.2021.106454,"{'given': 'Molly', 'family': 'Merrill-Francis', 'sequence': 'first', 'affiliation': []}",,crossref,2
"Homophobia is online: Sexual victimization and risks on the internet and mental health among bisexual, homosexual, pansexual, asexual, and queer adolescents",2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106728,"{'given': 'Manuel', 'family': 'Gámez-Guadix', 'sequence': 'first', 'affiliation': []}",,crossref,2
Finance in Non-financial Problems,2021-12-01,,,10.1142/10638,"{'given': 'Kim', 'family': 'Sawyer', 'sequence': 'first', 'affiliation': [{'name': 'University of MelbourneAustralia'}]}",,crossref,1
Optimization problems for machine learning: A survey,2021-05-01,Management Science and Operations Research,,10.1016/j.ejor.2020.08.045,"{'given': 'Claudio', 'family': 'Gambella', 'sequence': 'first', 'affiliation': []}",,crossref,1
Data driven review of commonalities and differences in gender and self-reported victimisation in Ugandan urban sample and Western published literature,2021-05-01,Pathology and Forensic Medicine,,10.1016/j.avb.2021.101550,"{'given': 'Wilber', 'family': 'Karugahe', 'sequence': 'first', 'affiliation': []}",,crossref,9
Contingent Valuation: A Pilot Study for Eliciting Willingness to Pay for a Reduction in Mortality From Vaccine-Preventable Illnesses for Children and Adults in Bangladesh,2021-05-01,Health Policy,,10.1016/j.vhri.2020.10.004,"{'given': 'Deborah', 'family': 'Odihi', 'sequence': 'first', 'affiliation': []}",,crossref,9
A review of parent- and family-based prevention efforts for adolescent dating violence,2021-05-01,Pathology and Forensic Medicine,,10.1016/j.avb.2021.101548,"{'given': 'Hannah', 'family': 'Doucette', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Reference intervals in Danish children and adolescents for bone turnover markers carboxy-terminal cross-linked telopeptide of type I collagen (β-CTX), pro-collagen type I N-terminal propeptide (PINP), osteocalcin (OC) and bone-specific alkaline phosphatase (bone ALP)",2021-05-01,Physiology,,10.1016/j.bone.2021.115879,"{'given': 'Sarah Seberg', 'family': 'Diemar', 'sequence': 'first', 'affiliation': []}",,crossref,2
Addressing 21st-century digital skills in schools – Development and validation of an instrument to measure teachers' basic ICT competence beliefs,2021-05-01,Human-Computer Interaction,,10.1016/j.chb.2020.106636,"{'ORCID': 'http://orcid.org/0000-0003-0451-6429', 'authenticated-orcid': False, 'given': 'Charlott', 'family': 'Rubach', 'sequence': 'first', 'affiliation': []}",,crossref,2
Profiling teachers' readiness for online teaching and learning in higher education: Who's ready?,2021-05-01,Human-Computer Interaction,,10.1016/j.chb.2020.106675,"{'ORCID': 'http://orcid.org/0000-0003-3630-0710', 'authenticated-orcid': False, 'given': 'Ronny', 'family': 'Scherer', 'sequence': 'first', 'affiliation': []}",,crossref,1
Secondary students’ online self-regulated learning during flipped learning: A latent profile analysis,2021-05-01,Human-Computer Interaction,,10.1016/j.chb.2020.106676,"{'given': 'David C.D.', 'family': 'van Alten', 'sequence': 'first', 'affiliation': []}",,crossref,1
Who else likes it? Perceived gender of social endorsers predicts gender equality support,2021-05-01,Human-Computer Interaction,,10.1016/j.chb.2021.106696,"{'given': 'Jessica', 'family': 'Roden', 'sequence': 'first', 'affiliation': []}",,crossref,1
Cheerful encouragement or careful listening: The dynamics of robot etiquette at Children's different developmental stages,2021-05-01,Human-Computer Interaction,,10.1016/j.chb.2021.106697,"{'given': 'Jae-gil', 'family': 'Lee', 'sequence': 'first', 'affiliation': []}",,crossref,9
Early detection of children with Autism Spectrum Disorder based on visual exploration of images,2021-05-01,Signal Processing,,10.1016/j.image.2021.116184,"{'given': 'Pramit', 'family': 'Mazumdar', 'sequence': 'first', 'affiliation': []}",,crossref,2
A new bio-inspired metric based on eye movement data for classifying ASD and typically developing children,2021-05-01,Signal Processing,,10.1016/j.image.2021.116171,"{'given': 'Shuning', 'family': 'Xu', 'sequence': 'first', 'affiliation': []}",,crossref,2
High adsorption behavior and photoregeneration of modified graphite oxide-titanium dioxide nanocomposites for tetracycline removal in water,2021-05-01,Environmental Engineering,,10.1016/j.psep.2020.10.036,"{'given': 'Yanting', 'family': 'Wang', 'sequence': 'first', 'affiliation': []}",,crossref,2
A reinforcement learning based multi-method approach for stochastic resource constrained project scheduling problems,2021-05-01,General Engineering,,10.1016/j.eswa.2020.114479,"{'given': 'Karam M.', 'family': 'Sallam', 'sequence': 'first', 'affiliation': []}",,crossref,1
Ethnic differences in the risk assessment of chronic violence review of the literature,2021-05-01,Pathology and Forensic Medicine,,10.1016/j.avb.2021.101553,"{'given': 'Eric', 'family': 'Johnson', 'sequence': 'first', 'affiliation': []}",,crossref,9
Modeling and optimization of multiple traveling salesmen problems: An evolution strategy approach,2021-05-01,Management Science and Operations Research,,10.1016/j.cor.2020.105192,"{'given': 'Korhan', 'family': 'Karabulut', 'sequence': 'first', 'affiliation': []}",,crossref,1
Paternal speech directed to young children with Autism Spectrum Disorders and typical development,2021-05-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103886,"{'given': 'Arianna', 'family': 'Bentenuto', 'sequence': 'first', 'affiliation': []}",,crossref,2
Characteristics of sleep spindles in school-aged children with attention-deficit/hyperactivity disorder,2021-05-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103896,"{'given': 'Noelia', 'family': 'Ruiz-Herrera', 'sequence': 'first', 'affiliation': []}",,crossref,2
Predictors of mental health among parents of children with cerebral palsy during the COVID-19 pandemic in Iran: A web-based cross-sectional study,2021-05-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103890,"{'ORCID': 'http://orcid.org/0000-0003-3487-557X', 'authenticated-orcid': False, 'given': 'Ata', 'family': 'Farajzadeh', 'sequence': 'first', 'affiliation': []}",,crossref,9
Audiovisual overstimulation in childhood and adolescence promotes hyperactive behaviour in adult mice,2021-05-01,Experimental and Cognitive Psychology,,10.1016/j.physbeh.2021.113348,"{'given': 'Jessica Layanne', 'family': 'de Sousa Lima', 'sequence': 'first', 'affiliation': []}",,crossref,2
Solving inverse problems using conditional invertible neural networks,2021-05-01,Physics and Astronomy (miscellaneous),,10.1016/j.jcp.2021.110194,"{'given': 'Govinda', 'family': 'Anantha Padmanabha', 'sequence': 'first', 'affiliation': []}",,crossref,1
Selective inhibition of monoacylglycerol lipase is associated with passive coping behavior and attenuation of stress-induced dopamine release in the medial prefrontal cortex,2021-05-01,Biochemistry,,10.1016/j.ynstr.2021.100293,"{'given': 'Francisco Javier', 'family': 'Pavón', 'sequence': 'first', 'affiliation': []}",,crossref,2
Cerebellar and multi-system metabolic reprogramming associated with trauma exposure and post-traumatic stress disorder (PTSD)-like behavior in mice,2021-05-01,Biochemistry,,10.1016/j.ynstr.2021.100300,"{'ORCID': 'http://orcid.org/0000-0001-6810-9326', 'authenticated-orcid': False, 'given': 'Graeme', 'family': 'Preston', 'sequence': 'first', 'affiliation': []}",,crossref,2
Silent word-reading fluency is strongly associated with orthotactic sensitivity among elementary school children,2021-05-01,Experimental and Cognitive Psychology,,10.1016/j.jecp.2020.105061,"{'given': 'Nancy', 'family': 'Krasa', 'sequence': 'first', 'affiliation': []}",,crossref,2
Children are more forgiving of accidental harms across development,2021-05-01,Experimental and Cognitive Psychology,,10.1016/j.jecp.2020.105081,"{'ORCID': 'http://orcid.org/0000-0003-0255-0228', 'authenticated-orcid': False, 'given': 'Dorsa', 'family': 'Amir', 'sequence': 'first', 'affiliation': []}",,crossref,2
Young children update their trust in an informant’s claim when experience tells them otherwise,2021-05-01,Experimental and Cognitive Psychology,,10.1016/j.jecp.2020.105063,"{'given': 'Tone K.', 'family': 'Hermansen', 'sequence': 'first', 'affiliation': []}",,crossref,9
Review of the use of additives to mitigate operational problems associated with the combustion of biomass with high content in ash-forming species,2021-05-01,"Renewable Energy, Sustainability and the Environment",,10.1016/j.rser.2020.110502,"{'given': 'José Luis', 'family': 'Míguez', 'sequence': 'first', 'affiliation': []}",,crossref,2
An AOIMLS enhanced LIBEM and for solving 3D thermo-elastic problems and non-homogeneous heat conduction problems with heat generation,2021-05-01,General Engineering,,10.1016/j.ijthermalsci.2021.106864,"{'given': 'Biao', 'family': 'Liu', 'sequence': 'first', 'affiliation': []}",,crossref,1
Treatment effect variability in brain stimulation across psychiatric disorders: A meta-analysis of variance,2021-05-01,Cognitive Neuroscience,,10.1016/j.neubiorev.2020.11.033,"{'ORCID': 'http://orcid.org/0000-0003-1449-7508', 'authenticated-orcid': False, 'given': 'Stephanie', 'family': 'Homan', 'sequence': 'first', 'affiliation': []}",,crossref,2
Functional outcome of modified French osteotomy fixed with recon-locking compression plate in older children,2021-05-01,Orthopedics and Sports Medicine,,10.1016/j.jcot.2021.01.008,"{'given': 'Saravanan', 'family': 'Kasirajan', 'sequence': 'first', 'affiliation': []}",,crossref,9
Negative affectivity moderated by preterm birth predicted toddlers’ behavior problems,2021-05-01,Developmental and Educational Psychology,,10.1016/j.infbeh.2021.101544,"{'given': 'Carolina Beatriz Savegnago', 'family': 'Martins', 'sequence': 'first', 'affiliation': []}",,crossref,1
Assessment the leaching characteristics and long-term leaching behavior of some radionuclides from synthesized zeolite cement matrix,2021-05-01,General Materials Science,,10.1016/j.cemconres.2021.106357,"{'given': 'N.M.', 'family': 'Sami', 'sequence': 'first', 'affiliation': []}",,crossref,2
Altitude healing effect in severe asthmatic children,2021-05-01,,,10.1016/j.resmer.2020.100810,"{'given': 'P.', 'family': 'Quignon', 'sequence': 'first', 'affiliation': []}",,crossref,9
Nursing interventions in children living under armed conflict situations and quality of life: a scoping review,2021-05-01,Pediatrics,,10.1016/j.pedn.2020.11.012,"{'given': 'Carlos Javier', 'family': 'Avendaño-Vásquez', 'sequence': 'first', 'affiliation': []}",,crossref,9
An optimization technique for solving a class of nonlinear fractional optimal control problems: Application in cancer treatment,2021-05-01,Modelling and Simulation,,10.1016/j.apm.2021.01.004,"{'given': 'H.', 'family': 'Hassani', 'sequence': 'first', 'affiliation': []}",,crossref,1
A new analytical test case for anisotropic grain growth problems,2021-05-01,Modelling and Simulation,,10.1016/j.apm.2020.11.035,"{'given': 'J.', 'family': 'Fausty', 'sequence': 'first', 'affiliation': []}",,crossref,1
Homotopy perturbation technique for improving solutions of large quadratic eigenvalue problems: Application to friction-induced vibration,2021-05-01,Control and Systems Engineering,,10.1016/j.ymssp.2020.107492,"{'given': 'Jérémy', 'family': 'Sadet', 'sequence': 'first', 'affiliation': []}",,crossref,1
Diagnosis and patterns of hearing loss in children with severe developmental delay,2021-05-01,Otorhinolaryngology,,10.1016/j.amjoto.2021.102923,"{'given': 'Stephen', 'family': 'Trudeau', 'sequence': 'first', 'affiliation': []}",,crossref,9
Supervised learning strategy for classification and regression tasks applied to aeronautical structural health monitoring problems,2021-05-01,Acoustics and Ultrasonics,,10.1016/j.ultras.2021.106372,"{'given': 'Roberto', 'family': 'Miorelli', 'sequence': 'first', 'affiliation': []}",,crossref,1
Exploratory study of cat adoption in families of children with autism: Impact on children's social skills and anxiety,2021-05-01,Pediatrics,,10.1016/j.pedn.2020.11.011,"{'given': 'Gretchen K.', 'family': 'Carlisle', 'sequence': 'first', 'affiliation': []}",,crossref,9
Health-related quality of life of children with congenital adrenal hyperplasia: A mixed methods study,2021-05-01,Pediatrics,,10.1016/j.pedn.2021.01.008,"{'given': 'Lacretia', 'family': 'Carroll', 'sequence': 'first', 'affiliation': []}",,crossref,9
Non-homogeneous boundary value problems for some KdV-type equations on a finite interval: A numerical approach,2021-05-01,Modelling and Simulation,,10.1016/j.cnsns.2020.105669,"{'given': 'Juan Carlos Muñoz', 'family': 'Grajales', 'sequence': 'first', 'affiliation': []}",,crossref,1
Pinning down the problems and influences: Disordered eating and body satisfaction in male wrestlers,2021-05-01,Applied Psychology,,10.1016/j.psychsport.2021.101884,"{'given': 'Noah A.', 'family': 'Satterfield', 'sequence': 'first', 'affiliation': []}",,crossref,2
Environmental factors-mediated behavior of microplastics and nanoplastics in water: A review,2021-05-01,General Chemistry,,10.1016/j.chemosphere.2021.129597,"{'given': 'Virender K.', 'family': 'Sharma', 'sequence': 'first', 'affiliation': []}",,crossref,9
Agency problems in public-private partnerships investment projects,2021-05-01,Management Science and Operations Research,,10.1016/j.ejor.2020.08.050,"{'given': 'Florina', 'family': 'Silaghi', 'sequence': 'first', 'affiliation': []}",,crossref,1
Complexity of inverse constraint problems and a dichotomy for the inverse satisfiability problem,2021-05-01,Theoretical Computer Science,,10.1016/j.jcss.2020.10.004,"{'given': 'Victor', 'family': 'Lagerkvist', 'sequence': 'first', 'affiliation': []}",,crossref,1
NGDNet: Nonuniform Gaussian-label distribution learning for infrared head pose estimation and on-task behavior understanding in the classroom,2021-05-01,Cognitive Neuroscience,,10.1016/j.neucom.2020.12.090,"{'given': 'Tingting', 'family': 'Liu', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Providing ecological, cultural and commercial services in an urban park: A travel cost–contingent behavior application in Finland",2021-05-01,Ecology,,10.1016/j.landurbplan.2021.104042,"{'given': 'Erkki', 'family': 'Mäntymaa', 'sequence': 'first', 'affiliation': []}",,crossref,1
Fluoride exposure and factors affecting dental caries in preschool children living in two areas with different natural levels of fluorides,2021-05-01,Inorganic Chemistry,,10.1016/j.jtemb.2021.126726,"{'given': 'Justyna', 'family': 'Opydo-Szymaczek', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Effect of zinc supplementation on hemogram parameters and circulating concentrations of homocysteine, vitamin B12, and folate in zinc-deficient children and adolescents",2021-05-01,Inorganic Chemistry,,10.1016/j.jtemb.2021.126724,"{'given': 'Isın', 'family': 'Sonmez Ozkarakaya', 'sequence': 'first', 'affiliation': []}",,crossref,2
Increased zinc and albumin but lowered copper in children with transfusion-dependent thalassemia,2021-05-01,Inorganic Chemistry,,10.1016/j.jtemb.2021.126713,"{'given': 'Zainab Hussein', 'family': 'Alhillawi', 'sequence': 'first', 'affiliation': []}",,crossref,9
Numerical study on integrals involving the product of Bessel functions and a trigonometric function arising in hydrodynamic problems,2021-05-01,Applied Mathematics,,10.1016/j.cam.2020.113160,"{'given': 'R.P.', 'family': 'Li', 'sequence': 'first', 'affiliation': []}",,crossref,1
AMFR-W-methods for parabolic problems with mixed derivates. Applications to the Heston model,2021-05-01,Applied Mathematics,,10.1016/j.cam.2019.112518,"{'given': 'S.', 'family': 'González-Pinto', 'sequence': 'first', 'affiliation': []}",,crossref,1
Comparison of the interleukin 27 expression for the acute and chronic phase of mononucleosis in children,2021-05-01,Immunology,,10.1016/j.cyto.2020.155395,"{'ORCID': 'http://orcid.org/0000-0003-1941-015X', 'authenticated-orcid': False, 'given': 'Beata', 'family': 'Zelazowska-Rutkowska', 'sequence': 'first', 'affiliation': []}",,crossref,9
A modified real-value negative selection detector-based oversampling approach for multiclass imbalance problems,2021-05-01,Control and Systems Engineering,,10.1016/j.ins.2020.12.058,"{'given': 'Ming', 'family': 'Liu', 'sequence': 'first', 'affiliation': []}",,crossref,1
A note on the immersed finite element basis functions for elliptic interface problems,2021-05-01,Applied Mathematics,,10.1016/j.aml.2020.106660,"{'given': 'Hongbo', 'family': 'Guan', 'sequence': 'first', 'affiliation': []}",,crossref,1
Solution types of two-sided interval linear system and their application on interval linear programming problems,2021-05-01,Applied Mathematics,,10.1016/j.cam.2020.113294,"{'given': 'Phantipa', 'family': 'Thipwiwatpotjana', 'sequence': 'first', 'affiliation': []}",,crossref,1
Protection of Children and Adolescents from Sexual Violence in Brazil: Legislation and Experiences in a Specialized Police Department,,,,10.18178/ijssh.2021.v11.1038,"{'given': 'Izaura', 'family': 'Rodrigues Nascimento', 'sequence': 'first', 'affiliation': []}","<jats:p>The Brazilian Constitution of 1988 represents a milestone due to the provision for comprehensive protection of children and adolescents. It was by this document with which the Police Department for the Protection of Children and Adolescents was created. This department is responsible for investigating sexual crimes. This research reflects the problems faced at the Police Department for the Protection of Children and Adolescents, in the city of Manaus, Amazonas state, Brazil. The study was based on bibliographic and documentary research, which prioritized the relevant legislation, records and institutional reports. It also employed direct observation at the police department and held interviews with 11 police sargeants and 3 psychologists, who were responsible for handling the complaints. The results reveal the high workload of these professionals in attending the public and solving the cases that come to their knowledge.</jats:p>",crossref,2
New exact algorithms for planar maximum covering location by ellipses problems,2021-05-01,Management Science and Operations Research,,10.1016/j.ejor.2020.09.029,"{'ORCID': 'http://orcid.org/0000-0003-4523-9317', 'authenticated-orcid': False, 'given': 'Danilo', 'family': 'Tedeschi', 'sequence': 'first', 'affiliation': []}",,crossref,1
Intergenerational Programmes bringing together community dwelling non-familial older adults and children: A Systematic Review,2021-05-01,Ageing,,10.1016/j.archger.2021.104356,"{'given': 'Ruth', 'family': 'Peters', 'sequence': 'first', 'affiliation': []}",,crossref,9
A topological degree theory for perturbed AG(S+)-operators and applications to nonlinear problems,2021-05-01,Applied Mathematics,,10.1016/j.jmaa.2020.124912,"{'ORCID': 'http://orcid.org/0000-0001-5871-694X', 'authenticated-orcid': False, 'given': 'Dhruba R.', 'family': 'Adhikari', 'sequence': 'first', 'affiliation': []}",,crossref,1
Relational aggression during early childhood: A systematic review,2021-05-01,Pathology and Forensic Medicine,,10.1016/j.avb.2021.101556,"{'given': 'Cara S.', 'family': 'Swit', 'sequence': 'first', 'affiliation': []}",,crossref,9
A numerical scheme for advection dominated problems based on a Lagrange interpolation,2021-05-01,"Geography, Planning and Development",,10.1016/j.gsd.2020.100542,"{'given': 'Hossein', 'family': 'Ahmadi', 'sequence': 'first', 'affiliation': []}",,crossref,1
Stability study of a compounded oral solution of nicardipine for the treatment of hypertension in children,2021-05-01,Pharmaceutical Science,,10.1016/j.ejps.2021.105738,"{'given': 'Damien', 'family': 'Fuss', 'sequence': 'first', 'affiliation': []}",,crossref,9
Measuring purchase intention towards green power certificate in a developing nation: Applying and extending the theory of planned behavior,2021-05-01,Economics and Econometrics,,10.1016/j.resconrec.2020.105363,"{'given': 'Jing', 'family': 'Wei', 'sequence': 'first', 'affiliation': []}",,crossref,2
Two-scale analysis of transient diffusion problems through a homogenized enriched continuum,2021-05-01,Mechanical Engineering,,10.1016/j.euromechsol.2021.104212,"{'given': 'A.', 'family': 'Waseem', 'sequence': 'first', 'affiliation': []}",,crossref,1
An alternative extended linear system for boundary value problems on locally perturbed geometries,2021-05-01,Physics and Astronomy (miscellaneous),,10.1016/j.jcp.2021.110182,"{'given': 'Yabin', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,1
Do schizotypy features predict cannabis problems in partnered community adults?,2021-05-01,Toxicology,,10.1016/j.addbeh.2021.106819,"{'ORCID': 'http://orcid.org/0000-0001-8311-6401', 'authenticated-orcid': False, 'given': 'Whitney C.', 'family': 'Brown', 'sequence': 'first', 'affiliation': []}",,crossref,1
A deep learning application to approximate the geometric orifice and coaptation areas of the polymeric heart valves under time – varying transvalvular pressure,2021-05-01,Mechanics of Materials,,10.1016/j.jmbbm.2021.104371,"{'ORCID': 'http://orcid.org/0000-0002-6169-3272', 'authenticated-orcid': False, 'given': 'Utku', 'family': 'Gulbulak', 'sequence': 'first', 'affiliation': []}",,crossref,1
Soluble Salts Reduction and Metal Leaching Behavior of Dredged Sediment for Reuse in Highway Slope Applications,2021-05-01,Geotechnical Engineering and Engineering Geology,,10.1061/(asce)gt.1943-5606.0002493,"{'given': 'Michelle', 'family': 'Huffert', 'sequence': 'first', 'affiliation': [{'name': 'Graduate Research Assistant, Dept. of Civil and Environmental Engineering, Univ. of Maryland, College Park, MD 20742.'}]}",,crossref,1
Quantum invariants for decomposition problems in type A rings of representations,2021-05-01,Theoretical Computer Science,,10.1016/j.jcta.2021.105431,"{'ORCID': 'http://orcid.org/0000-0003-4693-0556', 'authenticated-orcid': False, 'given': 'Maxim', 'family': 'Gurevich', 'sequence': 'first', 'affiliation': []}",,crossref,1
Assessing the behavior and performance of a supervised term-weighting technique for topic-based retrieval,2021-05-01,Media Technology,,10.1016/j.ipm.2020.102483,"{'ORCID': 'http://orcid.org/0000-0002-0184-8009', 'authenticated-orcid': False, 'given': 'Mariano', 'family': 'Maisonnave', 'sequence': 'first', 'affiliation': []}",,crossref,2
Optimal rotated block-diagonal preconditioning for discretized optimal control problems constrained with fractional time-dependent diffusive equations,2021-05-01,Applied Mathematics,,10.1016/j.apnum.2021.01.011,"{'given': 'Zhong-Zhi', 'family': 'Bai', 'sequence': 'first', 'affiliation': []}",,crossref,1
Evaluation of sex differences in preschool children with and without autism spectrum disorder enrolled in the study to explore early development,2021-05-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103897,"{'given': 'Lisa D.', 'family': 'Wiggins', 'sequence': 'first', 'affiliation': []}",,crossref,2
"Criteria for selecting apps: Debating the perceptions of young children, parents and industry stakeholders",2021-05-01,General Computer Science,,10.1016/j.compedu.2021.104134,"{'ORCID': 'http://orcid.org/0000-0001-7948-4439', 'authenticated-orcid': False, 'given': 'Patrícia', 'family': 'Dias', 'sequence': 'first', 'affiliation': []}",,crossref,9
Assessment of aflatoxins exposure through urinary biomarker approach and the evaluation of the impacts of aflatoxins exposure on the selected health parameters of the children of Multan city of Pakistan,2021-05-01,Biotechnology,,10.1016/j.foodcont.2021.107863,"{'given': 'Usama', 'family': 'Nasir', 'sequence': 'first', 'affiliation': []}",,crossref,2
A strong coreset algorithm to accelerate OPF as a graph-based machine learning in large-scale problems,2021-05-01,Control and Systems Engineering,,10.1016/j.ins.2020.10.009,"{'ORCID': 'http://orcid.org/0000-0002-2097-5521', 'authenticated-orcid': False, 'given': 'Hamid', 'family': 'Bostani', 'sequence': 'first', 'affiliation': []}",,crossref,1
Synthesis of functionalized iron N-heterocyclic carbene complexes and their potential application as flame behavior modifier in cross linked epoxy resins,2021-05-01,Physical and Theoretical Chemistry,,10.1016/j.ica.2021.120273,"{'given': 'Andrea', 'family': 'Cingolani', 'sequence': 'first', 'affiliation': []}",,crossref,1
Multi-objectivization inspired metaheuristics for the sum-of-the-parts combinatorial optimization problems,2021-05-01,Software,,10.1016/j.asoc.2021.107157,"{'given': 'Jialong', 'family': 'Shi', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Social support, resilience, and quality of life for families with children with intellectual disabilities",2021-05-01,Developmental and Educational Psychology,,10.1016/j.ridd.2021.103910,"{'ORCID': 'http://orcid.org/0000-0003-4977-5168', 'authenticated-orcid': False, 'given': 'Elsayed E.A.', 'family': 'Hassanein', 'sequence': 'first', 'affiliation': []}",,crossref,9
Coupled analysis of full flow penetration problems in soft sensitive clays,2021-05-01,Geotechnical Engineering and Engineering Geology,,10.1016/j.compgeo.2021.104054,"{'ORCID': 'http://orcid.org/0000-0002-9237-2316', 'authenticated-orcid': False, 'given': 'Hassan', 'family': 'Sabetamal', 'sequence': 'first', 'affiliation': []}",,crossref,1
Children integrate speech and gesture across a wider temporal window than speech and action when learning a math concept,2021-05-01,Linguistics and Language,,10.1016/j.cognition.2021.104604,"{'given': 'Cristina', 'family': 'Carrazza', 'sequence': 'first', 'affiliation': []}",,crossref,1
